class,comment
positif,Kami siap laksanakan Instruksi pak
positif,Siap melaksanakan intruksi pak
positif,Siap dukung dan sukseskan
positif,Langkah 3M ini sudah sukses di Bali memutus penyebaran covid pak presiden
positif,Siap amankan seluruh kebijakan kementerian Desa PDTT
positif,Siap utk di sosialisasikan ke setiap TPP yg ada di wilayah kabupaten Boltim
positif,Mendukung kebijakan Gus Menteri dalam upaya pencapaian SDGs Desa 3 yaitu Desa Sehat dan Sejahtera
positif,Mari bersama cegah penyebaran covid-19
positif,Mari kita sukseskan ppkm di masyarakat
positif,Siap kawal dan amankan kebijakan kemendes palaksanaan PPKM untuk kemajuan dan kesejahteraan masyarakat desa
positif,Semoga pak gubernur terus diberikan kekuatan untuk lanjutkan pengabdian bagi masyarakat..... langkah yang tepat akan mendapat pahala dari Allah SWT... bila semua niat karena ibadah.…
positif,Semoga bapak selalu diberi kesehatan amin....salam dari kota reog Ponorogo jawa timur bapak
positif,Semangat selalu
positif,Semoga berhasil...mikro lockdown
positif,patuhi prokes dan terapkan 5M
positif,terimakasih atas layanan vaksin untuk warga lansia  yg sangat baik dan profesional semoga  layanan profesional tetap jadi standar Pemda DKI amin
positif,Sehat selalu pemimpinku
positif,Semoga selalu diberikan kesehatan dan kesabaran 
positif,semoga pandemi segera berakhir. Mau ikut vaksin tapi takut di suntik. he he
positif,"Makasih bu, sukses selalu"
positif,"tetap patuhi prokes , dukung penuh"
positif,Bravo buat dokter seluruh dunia khususnya di Indonesia telah berdiri di garda terdepan
positif,Aduh semoga dipercepatlah vaksin masal utk seluruh rakyat itu ya..biar agak kurang was wasnya
positif,Siap komandan
positif,Mari saling mengingatkan dilingkungan kita masing²
positif,kami mendukung pemerintah memutuskan rantai covid 19 ditingkat keluarga untuk mendidik dan menasehati anak istri menurut prokes sebagian sop.
positif,Mari saling mengingatkan dilingkungan kita masing²
positif,"Semoga pandemi cepat hilang,,,,, perekonomian pulih"
positif,"Moga cepat normal, sampai kapan kita semua seperti ini ya..?? Tetap pada protokol Covid, jaga sehat dan tetap SEMANGAT"
positif,"Ingat 5M ( memakai masker, mencuci tangan pakai sabun, menjaga jarak, menjauhi kerumunan dan membatasi mobilitas).""BERSAMA LAWAN COVID-19"""
positif,doakan saja supaya sampai bulan maret 2022
positif,Klo memang ada trend positif selama ppkm mikro kita harus bersyukur
positif,"Siap, Insya Allah tetap semangat, Pak...Terima kasih ya, Pak"
positif,Semoga covid cepat berlalu
positif,Terimakasih dr Restuti Saragih infonya..Aduh..jgn bertambah lagi pasien covid di medan
positif,Terima kasih info.a Bu dokter.Bravo buat dokter seluruh dunia khususnya di Indonesia telah berdiri di garda terdepan
positif,"Iya, Kakak...Aamiin YRA...Dan meskipun udah vaksin, wajib tetap prokes"
